"fire_scar","site","old.site","date","year","latitude_at_0m","longitude_at_0m","latitude_at_30m","longitude_at_30m","elevation","slope","aspect","transect_orientation","dNBR","severity","ground_severity","moisture_class","pre_fire_vegetation","site_notes","site_photo_start","site_photo_end"
"Nugget Creek","NuCr3",NA,"7/30/2024",2024,64.85865,-146.45856,NA,NA,481,18,208,302,0.471771240234375,3,2,"subxeric","Moderate dense black spruce, scattered birch","Very little burning on trees, thin organic soils, high birch tree sprouting, dense downed pre fire trees almost all down, 30m away from mature birch stand, polytrichum and ceratadon. ","301a016e-dcd5-4734-882c-0860832a0a5d","41e3b80f-5665-4c38-95a2-1803d5a9f660"
"Nugget Creek","NuCr4",NA,"7/31/2024",2024,64.88116,-146.51077,NA,NA,304,6,245,155,0.426229774951935,1,1,"mesic-subhygric","Tall black spruce, prefire snags present","Heterogeneous site, understory equisetum, ledum, grass.
40m away from unburned black spruce.","180d4f21-41b4-489d-a60a-6bac4fa64d6a","f5267b8a-e53e-475a-a62a-2af891648570"
"Nugget Creek","NuCr5",NA,"7/31/2024",2024,64.88296,-146.51244,NA,NA,300,9,234,142,0.259828567504883,2,3,"mesic","Open tall black spruce ","Understory includes epilobium, calamagrostis, equisetum. Rocky soils with shallow organics, lots of polytrichum. All downed trees with clear burning.","2af63bce-ee37-4ad6-b83a-85f1993a2c95","c8e48481-d44f-4998-94e7-eaa55acee600"
"Nugget Creek","NuCr6",NA,"7/31/2024",2024,64.88338,-146.50885,NA,NA,337,12,229,140,0.462121576070786,3,2,"subxeric","Tall low density black spruce, a few birch","Very rocky soils, with many small shale rocks mixed into mineral soil and very little prefire organic. Char layer mixed with mineral that appears like it may be upslope runoff. Ground cover polytrichum and ceratadon. Understory fireweed, grass, spruce regen. Almost all prefire trees downed, a fair amount of prefire trees appear to have fallen and then had crowns burn, although many lightly burned downed trees are present. A lot of spruce seedlings, a few birch seedlings present.","d429c39f-1ef8-4d49-bb7c-e2e2200c9863","c564b9a6-55b0-4ced-99eb-0b59af7beb0b"
"Shovel Creek","ShCr1",18,"7/5/2021",2021,64.95943689,-148.1654613,NA,NA,436,16,264,NA,0.552969455718994,NA,NA,"mesic-subhygric","BS","Low severity. Some unburned sphagnum patches. ",NA,NA
"Shovel Creek","ShCr1",18,"7/16/2024",2024,64.95871,-148.16973,NA,NA,441,12,254,341,0.1968974173069,2,1,"mesic-subhygric","Black spruce and alder","Previously LC 18","3647cba1-7f8b-48cb-a946-7292d76bead0","f6de8dc4-f3c6-47e3-8324-4fee9feba815"
"Shovel Creek","ShCr2",26,"7/5/2021",2021,64.9594,-148.16544,NA,NA,476,13,285,NA,0.552969455718994,NA,NA,"mesic","Black spruce","High severity; trees fallen over;  one small patch of organic soil at 3m, but deep burning everywhere and exposed mineral soil. ",NA,NA
"Shovel Creek","ShCr2",26,"7/16/2024",2024,64.95939,-148.16544,NA,NA,476,14,278,12,0.552969455718994,2,3,"mesic-subxeric","Black spruce","All trees fallen. Double check it matches with original.","54014d15-245a-4d20-a53f-443d8483c6db","40900a24-85bb-4a11-8ffd-74d01bc2bf57"
"Shovel Creek","ShCr3",60,"7/5/2021",2021,64.9589,-148.24605,NA,NA,540,13,288,NA,0.908018290996552,NA,NA,"mesic-subhygric","Black spruce ","Patchy burning; lots of exposed mineral soil; rocky no thaw depths; lots of seedlings",NA,NA
"Shovel Creek","ShCr3",60,"7/16/2024",2024,64.95885,-148.24617,NA,NA,547,14,288,28,0.908018290996552,3,2,"subxeric","Black spruce","Very rocky. ","6c54507d-bd4e-4294-81ad-cb80b198d3f3","cd4cb86d-6015-4e06-ba80-8fef388d2590"
"Shovel Creek","ShCr4",8,"7/5/2021",2021,64.95412,-148.2617,NA,NA,517,15,312,NA,0.0750665664672852,NA,NA,"mesic","Black spruce ","N convex landscape position low severity with lots of sphagnum",NA,NA
"Shovel Creek","ShCr4",8,"7/16/2024",2024,64.95408,-148.2621,NA,NA,516,22,322,60,0.0750665664672852,1,1,"mesic-subhygric","Black spruce","Rocky outcrops. Concave. Surrounded by unburned. Do not like the site. Regen of everything! Old LC site 8","05185acf-86f9-4977-83cb-c85dea7a6a21","1d470294-57cb-4396-9550-81a26756da2d"
"Shovel Creek","ShCr5",41,"7/3/2021",2021,64.9498674,-148.2947491,NA,NA,686,7,275,NA,0.459898740053177,NA,NA,"xeric","Black spruce","No thaw depth too rocky. Slope = 7 degrees Aspect = 275 Lat = 64.94985 Lon = 148.29469 elevation = 686",NA,NA
"Shovel Creek","ShCr5",41,"7/17/2024",2024,64.94984,-148.29456,NA,NA,685,12,283,324,0.459898740053177,2,3,"xeric","Big black spruce.","Loads of CWD. All trees fallen. Exposed rock. Low regen. Old LC ID 41","215a9e55-445b-4fe7-9b59-5b0413db038a","641fa46b-06da-4f64-9f48-5f498178ec7c"
